Município;Pop_Menos_15Anos_2014;Pop_com_60Anoso_2014;Habitantes;area;taxa_natalidade;Esgoto_2010;Empregos_formais_2013;PIB
Presidente Epitácio;20,50;13,68;41301;1260,24;13,60;88,86;7078;534,20
Campos do Jordão;22,28;10,26;47758;290,06;14,89;77,98;12474;700,27
Pedreira;18,48;12,80;41501;108,59;12,24;95,23;13534;742,56
Pirajuí;16,16;14,48;22681;824,20;11,03;95,19;3181;319,16
Presidente Bernardes;15,81;18,84;13579;748,95;8,58;90,10;2066;184,11
Cananéia;23,47;14,16;12227;1239,38;14,08;68,93;1410;134,71
Pedro de Toledo;23,73;14,79;10195;670,44;12,28;64,73;1025;92,12
Porto Feliz;19,76;12,92;48864;556,71;14,05;96,22;13641;1018,88
Silveiras;21,58;14,71;5788;414,78;13,02;96,23;709;53,75
Jacupiranga;23,39;13,17;17207;704,09;13,80;91,25;3574;252,29
Pirassununga;18,30;15,68;70036;727,12;11,98;99,39;21402;1750,76
Taquarituba;20,88;13,56;22288;448,43;13,77;98,65;4957;402,78
Andradina;17,75;16,56;55333;964,19;12,91;90,29;14444;1322,02
São Bento do Sapucaí;18,64;16,63;10467;253,05;12,70;86,28;1323;124,51
Presidente Venceslau;16,68;16,52;37905;756,74;10,33;97,95;6398;560,95
Santa Rita do Passa Quatro;16,38;19,87;26475;754,14;9,87;98,12;6003;439,08
Piraju;19,44;16,33;28470;504,50;12,02;97,07;6318;475,77
Itajobi;15,74;18,91;14553;502,07;11,31;98,28;2949;287,58
Euclides da Cunha Paulista;22,40;12,86;9590;575,21;14,16;93,48;749;83,77
Álvares Florence;13,45;23,24;3900;362,94;8,66;98,98;901;88,45
Barão de Antonina;21,52;16,24;3113;153,14;13,15;84,08;512;72,33
Laranjal Paulista;19,40;15,22;25223;384,02;13,10;89,78;8559;508,32
Tupi Paulista;12,90;19,68;14261;245,34;11,13;98,43;2337;224,59
Bofete;21,35;16,04;9597;653,54;12,33;94,23;1653;165,82
São Luís do Paraitinga;18,67;16,47;10397;617,32;10,44;83,84;1606;105,28
Cachoeira Paulista;19,98;14,09;30066;287,99;13,85;93,65;5571;433,54
Novo Horizonte;18,74;15,51;36556;931,67;12,30;98,50;9896;777,40
Penápolis;18,17;16,42;58477;710,83;12,54;99,08;13780;1207,57
Agudos;20,63;12,79;34506;966,16;15,25;96,91;8660;1165,49
Lavrinhas;10,10;10,52;6585;537,73;14,79;94,30;778;71,39
Dracena;16,19;17,76;43234;488,04;10,77;96,57;10992;759,10
Arealva;17,63;19,57;7836;504,97;8,68;90,71;1556;162,42
Pinhalzinho;18,45;17,22;13086;154,53;11,61;88,16;1951;168,02
Mirassol;17,49;14,90;53744;243,29;12,70;98,73;14767;1257,77
Iperó;21,45;9,52;28198;170,28;11,67;77,82;5795;420,97
São Miguel Arcanjo;22,60;12,56;31445;930,34;13,36;86,14;4600;560,00
Cajuru;21,20;13,36;23348;660,09;14,18;97,33;4842;359,90
Cajamar;23,36;7,84;63989;131,33;17,38;71,71;41352;5623,21
Guaíra;19,02;13,81;37380;1258,48;12,54;99,67;12745;959,31
Lucélia;17,71;15,74;19868;314,76;10,03;99,19;7813;264,26
Itaporanga;22,06;15,58;14547;507,71;13,99;93,25;2067;167,58
Martinópolis;18,39;14,83;24203;1252,71;11,68;96,18;3494;414,25
Garça;18,78;16,21;43115;555,63;12,73;99,32;11774;848,19
Lagoinha;18,25;18,74;4842;255,47;7,25;94,55;719;53,30
Palmital;18,38;18,13;21182;547,81;10,88;98,72;3808;535,29
São Sebastião;22,62;9,35;73793;399,68;16,06;52,46;19486;2360,26
Santa Fé do Sul;16,17;17,85;29215;206,19;11,07;97,98;8227;703,58
Areias;23,08;12,58;3695;305,23;12,87;86,91;504;37,82
Redenção da Serra;20,48;16,90;3874;309,37;10,89;51,85;537;40,06
São José do Barreiro;22,19;14,79;4078;570,69;10,31;88,94;505;40,98
Jardinópolis;21,18;12,71;37597;502,22;14,53;99,75;9223;673,34
São Pedro;18,74;16,74;31629;609,09;12,70;95,48;5943;497,03
Ilha Comprida;20,74;18,78;9003;191,97;13,00;38,04;1498;127,39
Flora Rica;15,29;21,51;1755;225,30;9,45;95,49;284;35,58
Santo Anastácio;18,19;17,37;20477;552,54;10,22;98,25;3149;272,13
Cosmópolis;21,19;10,34;58689;154,66;13,88;94,67;10772;983,64
Mira Estrela;16,70;19,10;2818;216,83;8,05;97,22;457;39,18
Cosmorama;15,85;20,95;7215;441,71;9,94;96,64;2263;129,01
Juquitiba;24,01;11,35;28717;522,18;16,31;28,83;4061;301,03
Aparecida dOeste;16,24;21,29;4454;179,02;10,80;96,99;623;55,86
Pariquera-Açu;22,34;13,56;18439;359,30;13,59;84,89;4257;221,53
Quadra;20,26;15,34;3231;205,68;12,13;86,22;494;57,20
Araçoiaba da Serra;20,45;13,93;27226;255,43;14,51;40,67;5041;510,97
José Bonifácio;18,49;13,90;32727;859,95;12,87;97,83;10280;882,18
Murutinga do Sul;15,49;20,74;4184;250,84;9,25;99,46;486;54,63
Biritiba Mirim;22,82;12,32;28540;317,41;13,28;70,34;4080;383,88
Timburi;18,66;18,46;2647;196,79;10,32;93,66;405;35,41
Boituva;20,82;11,05;48177;248,95;15,64;86,31;21127;2120,46
Torre de Pedra;18,74;18,43;2253;71,35;15,40;94,42;232;22,12
Salesópolis;22,76;13,17;15624;425,00;13,58;85,05;2144;197,82
Monte Mor;21,95;10,21;48839;240,41;17,33;54,26;11246;1453,69
Palmeira dOeste;16,19;20,55;9590;319,22;7,96;94,98;1027;152,13
Caconde;20,79;15,97;18537;469,98;9,40;91,60;2134;292,62
Irapuru;13,72;17,78;7786;214,90;8,51;92,64;735;75,54
Tejupá;24,22;13,19;4813;296,28;14,29;95,08;710;65,97
Piracaia;19,20;14,53;25101;385,53;12,73;62,15;4389;340,73
Dois Córregos;21,58;14,09;24741;632,97;13,73;97,14;6091;575,55
Vinhedo;18,62;12,60;63453;81,60;14,12;82,96;37419;6561,50
Tietê;19,32;13,97;36789;404,40;12,93;94,80;14421;1082,04
Duartina;17,76;18,14;12253;264,56;11,34;98,56;2209;168,16
Santana da Ponte Pensa;13,09;25,49;1643;130,26;8,15;99,76;277;22,60
Nova Campina;25,78;8,65;8504;385,38;13,92;80,96;2340;150,11
Pederneiras;20,48;12,55;41454;729,00;15,09;98,73;14144;949,90
Capivari;21,19;11,62;48512;322,88;13,65;89,77;15305;1277,90
Coronel Macedo;20,85;15,01;5006;303,93;9,52;97,08;665;92,72
Tapiraí;24,64;13,22;8016;755,10;11,56;87,26;1154;83,45
Socorro;17,27;18,28;36651;449,03;11,08;82,44;7111;565,31
Balbinos;6,94;7,16;3670;91,64;4,89;98,29;386;34,50
Fernão;18,98;17,42;1562;100,76;12,60;98,93;332;22,49
Santa Cruz das Palmeiras;20,89;11,96;29893;295,34;14,32;99,74;6437;337,21
Tremembé;18,64;11,25;40928;191,36;13,76;82,39;4769;530,20
Adamantina;16,20;19,04;33794;411,39;10,40;99,03;8936;641,66
Espírito Santo do Pinhal;17,72;15,69;41895;389,42;11,89;98,71;12654;870,46
Álvares Machado;19,38;15,19;23506;347,38;14,85;93,06;3305;269,69
Tanabi;16,67;17,27;24042;745,80;12,66;86,83;5141;415,65
Buri;26,26;11,27;18555;1195,91;15,59;92,54;3891;313,91
Ibitinga;18,49;13,68;53100;689,25;12,76;98,78;15986;942,29
Guareí;16,62;10,62;14522;566,35;11,00;75,94;2207;206,45
Rubinéia;16,10;21,48;2860;242,90;8,26;75,00;497;40,63
Itaí;21,29;11,42;23982;1082,78;13,70;94,69;5018;477,58
Pacaembu;13,96;16,31;13220;338,50;9,41;87,06;1424;149,98
Oscar Bressane;16,42;22,00;2537;221,34;5,53;98,47;434;40,00
Bernardino de Campos;18,98;18,31;10775;244,20;11,60;99,81;2295;173,07
Pracinha;11,25;9,02;2842;62,84;4,54;95,82;264;21,82
Santo Antonio da Alegria;18,29;17,09;6299;310,29;10,77;96,99;1042;116,72
Brodowski;19,43;13,51;21070;278,46;12,99;97,53;4525;338,26
Cândido Mota;18,90;15,57;29879;596,21;11,56;97,92;5103;655,37
Ituverava;18,67;15,66;38674;705,24;11,00;99,74;8044;718,54
Casa Branca;18,46;15,12;28294;864,18;10,57;98,93;6581;646,73
Igaratá;21,63;13,98;8826;292,95;16,60;50,56;1532;115,90
Porto Ferreira;19,51;13,93;51366;244,91;13,36;96,96;15840;1150,43
Cafelândia;18,99;16,05;16600;920,10;14,22;98,65;3696;210,54
Promissão;20,50;13,73;35633;779,28;12,97;98,31;12141;990,28
Conchas;21,11;15,64;16276;466,02;11,79;92,63;3327;312,47
São Francisco;17,55;20,87;2794;75,62;10,87;99,60;237;35,88
Pedra Bela;18,52;16,88;5779;158,59;11,82;80,68;755;74,31
Pilar do Sul;22,26;13,05;26385;681,12;14,02;88,74;6886;434,79
Serra Negra;17,18;18,31;26365;203,74;11,04;76,63;6497;408,10
Arco Íris;17,05;18,97;1927;264,73;10,62;98,14;286;62,78
Alto Alegre;15,91;21,70;4103;319,04;11,27;96,17;716;79,15
Bariri;19,05;15,90;31563;444,07;13,26;99,52;9105;672,79
Turmalina;13,18;23,11;1981;147,94;7,80;99,61;365;38,85
Mairinque;22,04;11,61;43195;210,31;16,18;76,90;9578;957,02
Potim;20,44;8,23;19340;44,47;14,98;97,41;1408;171,82
Pedranópolis;16,56;20,29;2559;260,19;10,76;96,96;400;46,80
Bom Sucesso de Itararé;26,99;9,00;3568;133,58;17,54;94,21;544;41,82
Nova Odessa;18,65;12,27;51158;74,32;12,89;96,88;19748;2096,23
Santa Rita dOeste;14,02;23,78;2544;210,08;9,59;92,94;349;45,05
Salto Grande;21,13;16,27;8784;188,40;15,44;34,38;1378;159,66
Santo Antonio do Pinhal;21,26;13,35;6485;133,01;14,26;62,76;1067;71,23
Nova Aliança;17,80;16,84;5881;217,31;12,87;99,09;1138;104,80
Parapuã;17,14;18,53;10846;365,69;10,34;98,94;3380;230,07
Cardoso;17,98;18,56;11803;639,73;12,05;87,11;1385;173,46
São Sebastião da Grama;19,35;14,94;12102;252,38;11,64;98,63;3127;212,38
São Manuel;19,87;13,91;38327;650,77;13,07;96,82;9239;826,46
Brotas;20,26;13,81;21556;1101,38;13,10;97,42;7461;458,60
Fartura;19,58;16,03;15317;429,17;12,40;98,02;3803;223,64
Ubirajara;21,01;15,75;4425;282,37;14,01;95,41;932;65,47
Guararapes;18,54;15,76;30582;956,34;12,54;99,12;6597;854,00
Jarinu;21,42;11,90;23780;207,64;16,30;25,11;6855;596,99
Teodoro Sampaio;22,07;11,73;21374;1555,99;14,37;96,12;4703;335,42
Suzanápolis;20,28;14,65;3378;330,21;16,01;94,39;1326;96,23
Nhandeara;14,62;20,16;10720;435,77;10,40;98,59;1850;246,72
Tuiuti;16,94;18,53;5921;126,70;10,61;59,29;641;75,84
Óleo;19,18;19,99;2676;198,14;10,31;91,26;361;53,89
Cabreúva;23,35;9,07;41525;260,23;15,51;82,02;14695;3131,48
Avaí;20,52;13,81;4956;540,46;15,82;95,38;1636;96,31
Nova Guataporanga;16,85;20,01;2176;34,12;10,54;98,03;253;21,03
Jaguariúna;19,82;11,48;44162;141,40;15,19;90,07;32306;3771,05
Mirandópolis;15,93;15,92;27470;918,80;11,70;91,70;4302;367,94
Aspásia;16,14;19,32;1809;69,34;7,24;99,06;240;28,73
Bertioga;25,22;8,49;47462;490,15;17,23;30,81;12769;885,59
Rinópolis;17,81;18,95;9938;358,33;10,44;96,42;2036;129,27
Getulina;17,87;14,50;10762;678,70;10,20;95,72;1150;97,56
Junqueirópolis;16,73;16,87;18711;582,96;12,86;99,14;5441;353,99
Indiaporã;16,69;20,54;3904;279,60;8,50;90,44;514;62,09
Taquarivaí;25,28;9,05;5145;231,79;12,78;86,48;1499;117,62
Descalvado;17,63;15,42;31038;753,71;12,89;99,36;9520;743,52
Guarani dOeste;18,08;18,39;1970;85,53;8,69;97,28;285;26,02
Pongaí;15,10;19,67;3483;183,33;8,75;99,32;494;41,09
Jandira;22,61;7,90;108195;17,45;15,41;83,50;20918;1855,08
Alfredo Marcondes;15,78;21,20;3889;118,40;11,27;97,35;829;59,00
Uru;17,25;18,06;1252;146,97;16,21;96,82;282;32,20
Vargem;18,56;16,00;8784;142,61;14,19;73,43;1038;81,39
Monteiro Lobato;19,92;16,10;4116;332,74;8,29;77,98;856;43,95
Lutécia;19,84;16,55;2715;474,93;15,29;96,76;403;72,92
Pitangueiras;22,85;10,62;35270;430,64;13,72;99,05;7497;628,88
Pereira Barreto;19,28;15,85;24963;978,88;13,30;97,54;6230;594,50
Santa Albertina;15,31;19,98;5722;272,77;10,86;97,90;1930;70,45
Itirapuã;22,17;13,98;5910;161,12;13,95;99,23;808;91,66
Monte Castelo;15,97;19,94;4063;232,57;12,14;98,21;581;78,43
Urânia;16,54;19,17;8836;208,94;10,26;98,71;1355;122,89
Três Fronteiras;16,41;20,14;5425;151,19;11,71;97,14;612;71,03
Piratininga;18,48;15,79;12059;402,41;14,82;88,78;1785;160,91
Mirassolândia;18,84;16,80;4290;166,17;11,78;77,83;543;53,72
Floreal;13,29;23,08;3005;204,30;8,79;99,55;488;56,86
Altinópolis;18,61;16,38;15606;928,96;12,71;98,88;3856;363,82
Iacri;19,00;17,36;6422;322,63;12,70;99,51;818;132,89
Morro Agudo;22,60;10,33;29083;1388,20;14,76;98,34;8168;853,76
Paranapanema;22,20;11,18;17788;1018,72;12,70;88,43;4497;394,70
Vera Cruz;18,78;17,47;10772;248,07;10,95;95,88;1254;124,94
Presidente Alves;18,36;16,18;4125;287,19;12,97;98,60;712;61,67
Populina;16,80;19,47;4225;315,95;12,29;98,61;388;81,98
São João do Pau dAlho;14,49;23,12;2104;117,72;8,72;97,66;226;53,07
Guariba;21,85;10,21;35447;270,29;15,53;99,56;7649;548,07
Cravinhos;19,99;12,56;31662;311,40;13,16;99,64;8806;646,84
Herculândia;20,77;13,94;8690;364,64;11,51;93,93;1217;149,66
Urupês;16,27;18,55;12706;323,75;9,72;99,29;2683;221,77
Guaraçaí;17,58;18,74;8439;569,87;9,01;99,78;1296;155,43
Echaporã;19,89;16,94;6322;515,43;9,86;96,77;766;110,72
Artur Nogueira;20,61;10,91;44071;178,03;13,28;96,26;11039;673,37
Ribeirão dos Índios;16,54;19,82;2187;196,34;8,29;97,46;275;37,71
Pompéia;18,11;14,95;19948;784,06;12,91;97,81;7984;651,72
Monte Aprazível;17,15;16,58;21716;496,91;9,85;94,36;4212;570,83
Santa Salete;14,03;21,91;1446;79,39;11,06;98,65;229;31,30
Turiúba;15,21;22,22;1930;153,13;9,34;99,31;349;47,59
Vargem Grande Paulista;22,97;10,03;42899;42,48;17,85;46,76;11427;1033,30
Sarutaiá;21,89;15,68;3623;141,61;12,96;92,39;475;40,89
Campos Novos Paulista;21,71;15,66;4536;483,98;15,37;97,52;637;103,25
Rosana;20,55;13,19;19725;742,87;13,47;96,95;2579;949,90
Divinolândia;16,68;17,52;11215;222,13;12,98;89,39;2017;196,14
Pereiras;20,39;14,86;7443;223,27;9,93;98,63;2034;144,75
Américo de Campos;16,75;18,86;5705;253,10;9,62;98,98;502;74,38
Ipaussu;21,32;13,82;13653;209,66;11,87;98,09;3661;214,52
Rancharia;19,37;15,17;28804;1587,47;13,40;98,45;7608;1131,45
Sarapuí;22,02;13,18;9016;352,69;11,56;67,81;2003;141,13
São Pedro do Turvo;21,54;15,01;7195;731,76;12,43;97,96;1255;147,31
Dirce Reis;16,49;20,19;1688;88,35;21,18;98,90;363;31,01
Santa Cruz da Esperança;20,86;16,37;1952;148,06;16,07;97,76;318;52,86
Paulo de Faria;19,91;14,73;8588;738,29;12,74;98,50;911;181,20
Itápolis;17,42;15,94;40031;996,85;11,55;99,29;10474;763,83
Santa Branca;19,86;14,72;13757;272,24;10,94;79,48;3004;185,38
Cerqueira César;21,14;14,14;17511;511,62;13,97;97,58;5008;414,54
Ipiguá;17,98;16,47;4454;135,69;12,13;100,00;841;62,20
Pirapozinho;19,31;13,82;24671;477,99;12,73;94,92;4931;522,05
Gália;17,46;18,12;7018;356,01;10,23;98,30;1415;115,49
Cássia dos Coqueiros;18,84;17,13;2636;191,68;8,89;93,73;486;50,99
Tabapuã;17,16;16,76;11355;345,58;12,13;99,11;2332;178,95
Águas de São Pedro;14,55;24,65;2699;5,54;10,23;97,47;1366;67,50
Florínia;19,20;17,61;2831;225,63;15,10;96,79;498;158,12
Angatuba;21,18;13,17;22184;1027,98;13,11;96,96;4917;569,17
Cesário Lange;20,05;12,80;15516;190,77;14,46;92,02;3393;277,66
Santo Expedito;17,96;18,17;2801;94,44;10,51;73,40;324;31,75
General Salgado;16,91;17,09;10670;493,35;11,52;96,86;1750;234,84
Platina;22,36;14,18;3189;326,73;10,97;98,30;595;82,12
Guapiaçu;17,55;14,03;17834;324,92;14,20;92,27;3172;504,37
Santa Clara dOeste;16,61;19,33;2084;183,43;10,65;99,43;731;28,12
Macedônia;16,27;19,61;3665;327,72;6,88;70,68;493;51,25
Meridiano;16,67;17,24;3856;229,25;9,16;96,18;2408;63,07
Barra Bonita;16,45;15,57;35248;149,91;10,05;99,74;13339;598,33
Ribeirão do Sul;18,09;17,38;4446;203,69;10,20;90,82;699;106,44
Flórida Paulista;17,83;14,78;12832;525,08;8,81;98,58;2842;182,08
Águas de Lindóia;19,03;16,02;17257;60,13;13,06;90,33;4663;238,65
Guararema;21,26;12,57;25808;270,82;15,77;51,10;7189;462,38
Anhembi;22,48;12,85;5643;736,56;12,76;97,97;962;146,02
Iepê;19,43;16,42;7625;595,49;12,97;92,69;1005;203,66
Tambaú;20,11;14,98;22405;561,79;14,17;97,95;6317;402,85
Águas da Prata;16,48;19,66;7580;142,96;10,98;87,99;956;119,34
Macaubal;15,81;19,42;7661;248,13;10,77;96,53;2448;137,45
Salto de Pirapora;21,14;12,65;40087;280,61;14,33;93,30;5929;636,40
Sabino;18,96;17,87;5215;310,90;10,57;95,44;634;62,65
Torrinha;17,09;17,25;9326;315,27;12,18;97,70;1913;140,44
Ouro Verde;21,18;14,62;7794;267,61;12,22;70,86;681;127,37
Colina;18,87;14,53;17365;422,57;13,69;98,17;5290;504,92
Conchal;22,03;11,32;25207;182,79;16,40;97,10;5928;456,87
Cabrália Paulista;21,10;13,48;4367;239,91;15,44;98,42;835;144,79
Vargem Grande do Sul;20,39;14,10;39240;267,23;12,56;98,47;8321;601,44
Reginópolis;13,75;12,59;7297;410,82;10,04;95,31;881;107,85
Piquerobi;18,22;16,89;3537;482,57;11,88;86,28;602;48,78
Guaimbê;21,35;14,97;5423;218,01;14,13;99,19;539;46,16
Júlio Mesquita;21,20;14,78;4428;128,22;13,82;96,33;292;46,09
Sagres;18,80;17,75;2395;147,80;14,72;99,48;375;41,62
Piquete;18,91;16,10;14116;176,00;11,76;77,22;1513;116,21
Marabá Paulista;14,94;11,37;4801;918,77;6,40;91,67;711;84,67
Motuca;19,99;12,61;4286;228,70;12,06;99,59;523;89,57
Bananal;20,81;15,52;10219;616,43;10,35;94,39;1890;110,64
Cândido Rodrigues;15,89;20,19;2668;70,31;12,35;99,58;664;56,95
Orlândia;19,34;13,21;39748;291,77;12,89;99,84;11917;1017,93
Marapoama;16,65;16,44;2629;111,27;9,19;99,73;1444;98,41
Salmourão;19,27;16,06;4814;172,29;13,06;96,69;506;77,34
Magda;15,75;20,22;3202;311,71;11,68;98,44;603;62,05
Cedral;16,84;17,92;7960;197,69;9,95;96,30;2319;164,71
Morungaba;20,37;12,77;11752;146,75;13,18;88,26;11314;307,05
Santa Rosa do Viterbo;18,56;15,06;23841;288,58;12,26;99,21;5172;492,98
Aguaí;21,00;12,69;32113;474,74;12,51;98,87;6289;601,30
Lucianópolis;20,14;18,01;2248;189,82;8,89;94,73;870;41,31
Itapura;19,80;14,06;4352;301,37;13,93;32,04;600;104,45
São Joaquim da Barra;19,45;13,71;46469;410,60;12,58;99,70;12566;1041,79
Poloni;17,56;18,54;5390;133,54;12,05;97,80;936;101,14
Mariápolis;18,26;16,59;3915;185,90;9,40;94,66;353;38,90
São João das Duas Pontes;17,17;16,66;2567;129,34;14,98;100,00;240;43,60
Potirendaba;17,30;16,57;15433;342,38;12,76;99,53;4887;327,76
Monções;16,06;19,78;2131;104,24;13,50;96,45;1798;51,60
São José da Bela Vista;23,80;12,22;8403;276,95;11,66;98,58;792;141,40
Santa Mercedes;20,43;16,28;2831;166,87;14,88;77,15;524;50,32
Ibirarema;20,45;14,38;6716;228,32;12,79;95,40;733;135,07
Cruzália;16,92;16,47;2277;149,05;9,45;95,86;388;97,49
Monte Alegre do Sul;17,06;16,52;7145;110,31;11,02;77,13;1405;132,21
Borborema;18,19;15,81;14517;552,26;11,02;96,17;2961;262,33
Bastos;20,17;14,34;20446;171,89;13,13;99,33;6645;639,95
Dolcinópolis;16,63;20,24;2096;78,34;9,62;99,42;319;31,92
Santo Antonio do Jardim;18,38;16,76;5945;109,96;9,66;95,79;1343;126,20
Nova Granada;18,55;14,60;19161;531,88;12,38;94,20;2565;283,57
Maracaí;19,54;14,24;13329;533,94;12,09;92,87;2555;475,31
Ilha Solteira;16,58;16,67;25055;652,45;11,02;94,10;5496;1395,14
Castilho;20,19;13,88;17975;1065,80;14,82;93,04;3345;830,54
Icém;21,12;12,67;7456;362,59;14,27;99,61;1152;122,48
Nazaré Paulista;20,05;14,72;16396;326,29;13,98;25,60;2887;239,38
Igarapava;19,57;14,35;27934;468,25;10,66;97,88;6165;819,49
Quintana;18,50;15,58;5999;319,57;12,02;96,98;1314;100,03
Manduri;19,52;15,40;8986;229,05;11,90;98,25;1808;116,77
Paulistânia;18,80;16,04;1779;256,65;12,37;86,32;241;38,60
Igaraçu do Tietê;20,34;11,35;23356;97,72;12,59;99,33;2605;214,55
Rincão;21,50;13,28;10413;315,95;13,23;99,65;1594;151,76
Lupércio;21,47;15,03;4352;154,49;11,89;98,83;683;65,57
Caiabu;18,53;16,60;4072;252,84;12,73;84,13;358;50,21
Ibirá;17,90;16,52;10883;271,91;12,17;94,57;1890;158,00
Guará;23,16;12,37;19850;362,48;11,28;99,06;4028;389,11
Palestina;16,90;17,07;11033;695,46;11,48;83,95;2750;199,63
