Município;Pop_Menos_15Anos_2014;Pop_com_60Anoso_2014;Habitantes;area;taxa_natalidade;Esgoto_2010;Empregos_formais_2013;PIB
Corumbataí;19,90;14,50;3873;278,62;16,67;96,75;1053;113,56
Valparaíso;19,07;11,49;22539;857,50;15,05;98,61;5637;404,94
Paraíso;18,43;15,31;5894;155,84;11,96;97,50;2356;103,53
Coroados;18,43;14,04;5231;246,36;14,83;98,20;905;99,22
Glicério;20,09;15,59;4564;273,56;14,06;97,15;1020;86,43
Itirapina;17,47;10,85;15499;564,76;11,11;88,99;4054;255,16
Sebastianópolis do Sul;15,57;17,34;3027;168,08;11,53;99,27;2977;87,31
Serra Azul;18,56;10,15;11217;283,14;10,92;92,43;825;115,34
Taguaí;22,13;11,15;10795;145,33;15,71;98,33;4401;207,88
Estrela dOeste;17,10;17,38;8208;296,41;10,64;97,33;3184;892,59
Pontes Gestal;18,34;18,02;2518;217,38;13,50;99,72;1846;157,22
Trabiju;20,81;14,21;1543;63,42;11,96;99,76;361;28,35
Itatinga;24,33;10,11;18029;979,82;13,69;97,27;3342;281,56
Santa Gertrudes;21,86;8,99;21579;98,29;14,50;98,91;7358;491,67
Queiroz;22,85;11,59;2802;233,79;15,96;99,07;780;170,48
Ribeirão Bonito;22,35;13,04;12127;471,55;13,66;98,85;2275;177,42
Alvinlândia;22,25;14,05;2999;84,80;15,38;95,62;374;38,69
Guatapará;21,87;13,08;6961;413,74;11,12;95,09;1645;134,32
Pontalinda;20,43;13,41;4069;210,19;14,28;98,53;422;52,25
Boa Esperança do Sul;21,80;11,78;13636;690,76;13,72;99,46;5298;284,74
Indiana;17,73;16,21;4826;126,62;13,72;80,09;594;47,81
Rafard;20,78;13,36;8610;121,65;10,22;97,83;3418;119,99
Caiuá;21,60;9,36;5031;96,10;7,68;86,50;541;88,41
Saltinho;16,36;15,92;7047;99,74;11,88;98,65;1718;157,06
Pirangi;16,47;17,32;10618;215,46;9,54;99,57;2050;160,00
Roseira;21,49;11,01;9590;130,65;16,64;94,54;2367;279,77
Jeriquara;22,73;12,06;3161;141,97;12,37;98,50;654;102,88
Avanhandava;20,19;10,71;11287;338,64;13,52;99,31;1941;173,17
Areiópolis;23,19;9,72;10577;85,77;13,81;98,97;1400;134,28
Gabriel Monteiro;15,65;19,27;2708;138,55;16,27;99,24;849;111,45
Lavínia;23,78;10,09;8740;167,07;5,54;79,40;849;139,11
Guaiçara;20,96;12,47;10657;271,14;11,48;88,38;1628;109,66
Américo Brasiliense;21,91;9,05;34421;122,74;14,88;99,51;8837;557,90
Irapuã;18,83;14,65;7270;257,91;11,73;99,00;876;119,42
Severínia;21,04;10,81;15484;140,43;12,32;99,77;2378;264,53
Canas;24,55;10,24;4378;53,26;20,49;79,59;773;52,41
São João de Iracema;17,44;17,33;1779;178,61;9,98;97,73;286;43,92
Pirapora do Bom Jesus;24,86;8,38;15702;108,52;14,27;63,82;3134;151,81
Rifaina;18,68;16,48;3435;162,51;11,32;93,14;523;57,42
Quatá;21,02;12,85;12789;650,37;11,87;98,35;4260;358,38
Joanópolis;18,65;15,87;11756;374,28;11,62;68,11;2040;144,56
Cristais Paulista;20,29;12,85;7579;385,23;14,91;94,24;1539;212,26
Espírito Santo do Turvo;23,24;10,85;4239;193,66;12,03;98,04;536;131,00
Ipeúna;21,76;11,36;6000;190,01;16,11;92,29;2397;138,28
Jaborandi;19,63;14,50;6591;273,44;13,74;99,89;906;103,77
Aramina;18,05;15,58;5149;202,89;12,73;97,14;673;90,81
Analândia;20,22;14,90;4287;325,67;8,28;93,28;1020;90,13
Arandu;20,28;13,90;6123;285,91;12,07;94,64;1358;93,16
Charqueada;20,61;12,37;15067;175,85;12,65;89,10;2901;215,99
Itobi;19,15;14,20;7545;139,21;10,05;96,71;840;95,76
Terra Roxa;20,37;13,73;8498;221,54;12,66;99,42;1165;107,38
Bocaina;19,72;13,43;10846;363,93;14,31;96,76;4346;235,59
Ipuã;21,86;10,95;14127;465,88;12,48;99,34;3604;269,94
Cordeirópolis;20,08;12,39;21048;137,58;13,98;99,05;9561;1892,97
Tabatinga;20,04;12,64;14671;369,56;12,03;97,71;3800;177,17
Colômbia;20,58;12,53;5994;729,25;18,96;94,90;3459;165,02
Borebi;22,34;12,10;2290;347,99;13,86;98,86;763;68,66
Sales Oliveira;18,28;15,03;10557;305,64;13,62;99,19;2478;231,03
Taciba;19,81;14,13;5710;607,31;14,44;97,70;847;332,94
Jumirim;19,16;12,40;2792;56,69;12,17;85,63;1029;81,37
Pradópolis;20,80;10,69;17334;167,38;11,68;99,79;7142;626,55
Paulicéia;21,49;12,19;6330;373,57;16,10;36,96;2314;111,93
Luiziânia;19,27;13,59;5023;166,55;14,11;99,72;540;73,00
Sandovalina;22,59;11,09;3693;455,12;14,02;94,07;2002;282,63
Pratânia;22,23;10,49;4593;175,10;15,97;97,22;1120;90,08
Nuporanga;18,41;14,53;6813;348,27;10,78;99,90;2810;218,86
Planalto;22,23;11,61;4456;290,10;13,47;98,85;2857;90,59
Estiva Gerbi;19,57;11,66;10033;74,21;12,55;96,36;1841;180,01
Ribeirão Corrente;22,63;11,91;4270;148,33;14,35;97,36;648;133,12
Taiúva;13,99;15,99;5447;132,46;7,82;98,84;789;75,36
Narandiba;22,18;11,59;4283;358,03;17,32;94,86;1045;182,06
Barrinha;23,65;8,32;28457;145,64;14,88;97,26;3972;353,38
Brejo Alegre;18,83;14,34;2571;105,40;11,01;98,10;2733;105,78
